"followers","artist_10","track_id","artist_1","artist_popularity","artist_4","artist_id","track_number","artist_7","explicit","genre_2","album_id","artist_genres","genre_5","album_type","duration_ms","artist_6","artist_9","artists","artist_0","genre_4","artist_3","album_name","name","genre_1","artist_11","duration_sec","track_name","artist_5","artist_8","track_popularity","total_tracks","label","artist_2","genre_3","genre_6","release_date","album_popularity","id","genre_0"
"2316620","","4nUvJIOecb3PwRvwzLXbAT","","0","","0LyfQWJT6nXafLPZqxe9Of","13","","false","","36zgaHMzNkfi8dBPWDy4f7","[]","","compilation","161602","","","","Lucas Svärd","","","Deep Passions","Various Artists","","","161.602","Premonitions","","","6","13","Rebel Groove","","","","2022-07-11 00:00:00 UTC","13","0LyfQWJT6nXafLPZqxe9Of",""
"2316620","","7GmiJVBAzWNikX5VkNQg85","Kamehameha Schools Children's Chorus","0","","0LyfQWJT6nXafLPZqxe9Of","1","","false","","0tNLpUZfJKyxMS0nKlnyXP","[]","","compilation","208226","","","","Mark Keali'i Ho'omalu","","","Lilo & Stitch","Various Artists","","","208.226","Hawaiian Roller Coaster Ride","","","67","12","Walt Disney Records","","","","2002-01-01 00:00:00 UTC","62","0LyfQWJT6nXafLPZqxe9Of",""
"4155","","7gEeyALzqGwnyHkEqpk2zo","","19","","4nCfPXGzJWCYGqcGzANeE3","1","","false","","7sEtPzhxOY9JbitiuYTajn","[]","","single","301331","","","","Trio Amadeus","","","Sweet Child O Mine","Trio Amadeus","","","301.331","Sweet Child O Mine","","","8","1","Trio Amadeus","","","","2022-05-20 00:00:00 UTC","3","4nCfPXGzJWCYGqcGzANeE3",""
"136","","63KiyOxXRCvPtdCcidEmr2","","25","","5fwVjpwbUNb4HHWZIEw7Cq","7","","false","","3D9Gi3D7PMPXxZ3QDyJzAR","[]","","album","268382","","","","David Guzman","","","Mi Primera Década","David Guzman","","","268.382","Soy Tu Dios","","","1","18","Paradise Records & Tape","","","","2021-05-21 00:00:00 UTC","2","5fwVjpwbUNb4HHWZIEw7Cq",""
"24647","","4Tqrg7OkfVYIa5x95vUpaV","","44","","6cHNKcqDykgDCRgnvKdSfK","2","","false","","6ms8IXNl6dXiPkQ8vq0VaT","['heartland rock']","","album","201885","","","","Skrizzly Adams","","","Young Man","Skrizzly Adams","","","201.885","Take A Sip","","","40","10","Skrizzly Adams","","","","2019-11-15 00:00:00 UTC","42","6cHNKcqDykgDCRgnvKdSfK","heartland rock"
"13462768","","0wEC0GNF74lAqrEFZJMl1m","","83","","4V8LLVI7PbaPR0K2TGSxFF","8","","true","","5zi7WsKlIiUXv09tbGLKsE","['hip hop', 'rap']","","album","179013","","","","Tyler, The Creator","","","Igor","Tyler, The Creator","rap","","179.013","Puppet","","","69","12","Columbia","","","","2019-05-17 00:00:00 UTC","85","4V8LLVI7PbaPR0K2TGSxFF","hip hop"
"75945958","","1Xg9k7OAyJryBXVx3KUklz","","93","","1Xyo4u8uXC1ZmMpatF05PJ","17","","false","pop","3esNgb0dchNmQ3MhlUVaa7","['canadian contemporary r&b', 'canadian pop', 'pop']","","album","220196","","","","The Weeknd","","","Dawn Fm (Alternate World)","The Weeknd","canadian pop","","220.196","Take My Breath - Single Version","","","61","19","XO / Republic Records","","","","2022-01-07 00:00:00 UTC","61","1Xyo4u8uXC1ZmMpatF05PJ","canadian contemporary r&b"
"5321141","","4ozxYj7YYkQJFgd4qO5e0Y","","63","","568ZhdwyaiCyOGJRtNYhWf","8","","false","hard rock","1FOmatanDRxS9EGcxjXKuO","['album rock', 'classic rock', 'hard rock', 'metal', 'rock']","","album","298693","","","","Deep Purple","rock","","Perfect Strangers","Deep Purple","classic rock","","298.693","Hungry Daze","","","36","10","Island Def Jam","","metal","","1984-09-16 00:00:00 UTC","60","568ZhdwyaiCyOGJRtNYhWf","album rock"
"373","","4CJgKkSaLRPdH0YkD0tRkf","Bobby Solo","0","","2zGRxtnQguTFD3wrym2Myb","1","","false","","2jf2MhZ6iM8ePDk593wSMq","[]","","single","203571","","","","Leave the Memories","","","Hangover (Dj Maxwell Concept)","Leave the Memories","","","203.571","Hangover - Dj Maxwell Concept","","","0","1","K1 records","Dj Maxwell","","","2019-06-27 00:00:00 UTC","0","2zGRxtnQguTFD3wrym2Myb",""
"380","","7zoEHeYPS6s9drJeYOft9q","","7","","3sJx674lc3nnwBg9voV04f","13","","false","","2XSt9nPBjKd5SbqY2Hxh9c","[]","","album","149504","","","","Petur Jonsson","","","Black Sands (Original Soundtrack)","Petur Jonsson","","","149.504","Reflect","","","0","21","Medialux Music","","","","2022-06-03 00:00:00 UTC","1","3sJx674lc3nnwBg9voV04f",""
